Date,Network,Upload,Download,Total
"2023-06-22","NOS-F368-5","543,4 MB","4,72 GB","5,27 GB"
"2023-06-23","NOS-F368-5","960,1 MB","15,98 GB","16,94 GB"
"2023-06-24","NOS-F368-5","252,8 MB","1,03 GB","1,28 GB"
"2023-06-25","NOS-F368-5","108,2 MB","782,6 MB","890,8 MB"
"2023-06-26","NOS-F368-5","159,3 MB","1,03 GB","1,19 GB"
"2023-06-27","NOS-F368-5","367,6 MB","2,05 GB","2,42 GB"
"2023-06-27","Wi-Fi","49 KB","Zero KB","49 KB"
"2023-06-28","NOS-F368-5","261 MB","919,2 MB","1,18 GB"
"2023-06-29","NOS-F368-5","973,8 MB","5,91 GB","6,88 GB"
"2023-06-30","NOS-F368-5","1,57 GB","8,24 GB","9,81 GB"
"2023-07-01","NOS-F368-5","151,3 MB","725,9 MB","877,3 MB"
"2023-07-02","NOS-F368-5","98,1 MB","257,8 MB","355,9 MB"
"2023-07-03","NOS-F368-5","859,2 MB","3,57 GB","4,42 GB"
"2023-07-04","NOS-F368-5","4,3 GB","11,41 GB","15,71 GB"
"2023-07-05","NOS-F368-5","184 MB","1,9 GB","2,08 GB"
"2023-07-07","NOS-F368-5","531,7 MB","1,58 GB","2,12 GB"
"2023-07-10","NOS-F368-5","370,9 MB","1,22 GB","1,59 GB"
"2023-07-11","NOS-F368-5","563,7 MB","1,16 GB","1,73 GB"
"2023-07-12","NOS-F368-5","463,9 MB","5,89 GB","6,36 GB"
"2023-07-13","NOS-F368-5","5,07 GB","13,94 GB","19,01 GB"
"2023-07-14","NOS-F368-5","2 GB","8,9 GB","10,91 GB"
"2023-07-15","NOS-F368-5","162,5 MB","1,44 GB","1,6 GB"
"2023-07-16","NOS-F368-5","179,6 MB","1,12 GB","1,3 GB"
"2023-07-17","NOS-F368-5","3,37 GB","7,34 GB","10,71 GB"
"2023-07-18","NOS-F368-5","2,41 GB","3,23 GB","5,64 GB"
"2023-07-19","NOS-F368-5","4,76 GB","3,13 GB","7,89 GB"
"2023-07-20","NOS-F368-5","3,09 GB","7,36 GB","10,45 GB"
"2023-07-21","NOS-F368-5","4,33 GB","9,65 GB","13,99 GB"
"2023-07-22","NOS-F368-5","430,3 MB","1,61 GB","2,04 GB"
"2023-07-23","NOS-F368-5","356,9 MB","990,9 MB","1,35 GB"
"2023-07-25","NOS-F368-5","445,4 MB","6,38 GB","6,82 GB"
"2023-07-26","NOS-F368-5","376,6 MB","3,11 GB","3,49 GB"
"2023-07-27","NOS-F368-5","1,13 GB","5,06 GB","6,19 GB"
"2023-07-28","NOS-F368-5","2,67 GB","9,63 GB","12,29 GB"
"2023-07-29","NOS-F368-5","476,1 MB","5,85 GB","6,32 GB"
"2023-07-30","NOS-F368-5","207,9 MB","1,96 GB","2,17 GB"
"2023-07-31","NOS-F368-5","766,8 MB","4,62 GB","5,39 GB"
"2023-08-01","NOS-F368-5","428,8 MB","3,65 GB","4,08 GB"
"2023-08-02","NOS-F368-5","762,1 MB","3,53 GB","4,3 GB"
"2023-08-03","NOS-F368-5","2,25 GB","3,45 GB","5,7 GB"
"2023-08-04","NOS-F368-5","646,5 MB","1,56 GB","2,2 GB"
"2023-08-05","NOS-F368-5","390 MB","19,07 GB","19,46 GB"
"2023-08-06","NOS-F368-5","338,9 MB","18,69 GB","19,03 GB"
"2023-08-07","NOS-F368-5","455,4 MB","19,06 GB","19,52 GB"
"2023-08-08","NOS-F368-5","408,5 MB","16,55 GB","16,96 GB"
"2023-08-09","NOS-F368-5","320 MB","2,6 GB","2,92 GB"
"2023-08-10","NOS-F368-5","216,4 MB","1,65 GB","1,87 GB"
"2023-08-10","Wi-Fi","2 KB","Zero KB","2 KB"
"2023-08-11","NOS-F368-5","261,3 MB","1,36 GB","1,62 GB"
"2023-08-12","NOS-F368-5","223,5 MB","4,36 GB","4,59 GB"
"2023-08-13","NOS-F368-5","140,3 MB","223 MB","363,3 MB"
"2023-08-14","NOS-F368-5","30 MB","67,1 MB","97,1 MB"
"2023-08-15","NOS-F368-5","101,5 MB","4,25 GB","4,35 GB"
"2023-08-16","NOS-F368-5","121,9 MB","3,48 GB","3,6 GB"
"2023-08-17","NOS-F368-5","146,5 MB","2,89 GB","3,04 GB"
"2023-08-18","NOS-F368-5","182,3 MB","2,93 GB","3,11 GB"
"2023-08-19","Wi-Fi","1 KB","Zero KB","1 KB"
"2023-08-19","NOS-F368-5","205,3 MB","2,89 GB","3,09 GB"
"2023-08-20","NOS-F368-5","185,8 MB","2,98 GB","3,16 GB"
"2023-08-21","NOS-F368-5","183,1 MB","4,99 GB","5,18 GB"
"2023-08-21","Wi-Fi","1 KB","Zero KB","1 KB"
"2023-08-22","NOS-F368-5","171,5 MB","2,88 GB","3,05 GB"
"2023-08-23","Wi-Fi","34 KB","Zero KB","34 KB"
"2023-08-23","NOS-F368-5","379,7 MB","5,5 GB","5,88 GB"
"2023-08-24","NOS-F368-5","199,3 MB","3,29 GB","3,49 GB"
"2023-08-25","NOS-F368-5","179,6 MB","3,26 GB","3,44 GB"
"2023-08-26","NOS-F368-5","229,4 MB","2,99 GB","3,22 GB"
"2023-08-26","Wi-Fi","4 KB","Zero KB","4 KB"
"2023-08-27","NOS-F368-5","172,7 MB","2,94 GB","3,11 GB"
"2023-08-28","NOS-F368-5","168,4 MB","3,15 GB","3,32 GB"
"2023-08-28","Wi-Fi","1 KB","Zero KB","1 KB"
"2023-08-29","NOS-F368-5","157,3 MB","3,61 GB","3,77 GB"
"2023-08-30","NOS-F368-5","142,3 MB","2,82 GB","2,96 GB"
"2023-08-31","NOS-F368-5","147,3 MB","2,83 GB","2,98 GB"
"2023-09-01","NOS-F368-5","151,5 MB","3,08 GB","3,23 GB"
"2023-09-02","NOS-F368-5","243,5 MB","2,73 GB","2,97 GB"
"2023-09-02","NOS-F368","68,8 MB","757,5 MB","826,2 MB"
"2023-09-02","Wi-Fi","3 KB","Zero KB","3 KB"
"2023-09-04","NOS-F368-5","196 MB","2,58 GB","2,78 GB"
"2023-09-05","NOS-F368-5","1,73 GB","5,61 GB","7,34 GB"
"2023-09-05","Wi-Fi","49 KB","Zero KB","49 KB"
"2023-09-06","NOS-F368-5","3,57 GB","5,71 GB","9,28 GB"
"2023-09-07","NOS-F368-5","1,05 GB","10,46 GB","11,51 GB"
"2023-09-08","NOS-F368-5","399,9 MB","7,88 GB","8,28 GB"
"2023-09-08","NOS-F368","5 MB","23,3 MB","28,2 MB"
"2023-09-09","NOS-F368-5","305,2 MB","7,4 GB","7,7 GB"
"2023-09-10","NOS-F368-5","51,9 MB","400,8 MB","452,6 MB"
"2023-09-11","NOS-F368-5","208,7 MB","630,1 MB","838,8 MB"
"2023-09-12","NOS-F368-5","334 MB","966,3 MB","1,3 GB"
"2023-09-13","NOS-F368-5","436,9 MB","3,83 GB","4,27 GB"
"2023-09-14","NOS-F368-5","1,96 GB","8,33 GB","10,29 GB"
"2023-09-15","NOS-F368-5","784,7 MB","6,71 GB","7,49 GB"
"2023-09-16","NOS-F368-5","282,4 MB","2,58 GB","2,86 GB"
"2023-09-17","NOS-F368-5","247,1 MB","1,71 GB","1,96 GB"
"2023-09-18","NOS-F368-5","1,47 GB","2,6 GB","4,08 GB"
"2023-09-19","NOS-F368-5","82,9 MB","675,1 MB","757,9 MB"
"2023-09-20","NOS-F368-5","1,14 GB","8,9 GB","10,05 GB"
"2023-09-21","NOS-F368-5","2,71 GB","20,95 GB","23,65 GB"
"2023-09-22","NOS-F368","13,9 MB","2,08 GB","2,1 GB"
"2023-09-22","NOS-F368-5","203,4 MB","7,75 GB","7,96 GB"
"2023-09-23","NOS-F368-5","24,9 MB","1,91 GB","1,93 GB"
"2023-09-23","Wi-Fi","138,3 MB","4,77 GB","4,91 GB"
"2023-09-24","Wi-Fi","52,6 MB","455,7 MB","508,4 MB"
"2023-09-25","Wi-Fi","949,3 MB","2,21 GB","3,16 GB"
"2023-09-26","Wi-Fi","772,9 MB","3,06 GB","3,83 GB"
"2023-09-27","Wi-Fi","1,16 GB","5,2 GB","6,36 GB"
"2023-09-28","Wi-Fi","346,5 MB","2,21 GB","2,56 GB"
"2023-09-29","Wi-Fi","460,5 MB","3,58 GB","4,04 GB"
"2023-09-30","Wi-Fi","223,8 MB","292 MB","515,7 MB"
"2023-10-01","Wi-Fi","278 MB","749,3 MB","1,03 GB"
"2023-10-02","Wi-Fi","381,9 MB","826,5 MB","1,21 GB"
"2023-10-03","Wi-Fi","402,9 MB","1,3 GB","1,7 GB"
"2023-10-04","Wi-Fi","2,71 GB","5,85 GB","8,56 GB"
"2023-10-05","Wi-Fi","349,8 MB","2,21 GB","2,56 GB"
"2023-10-07","Wi-Fi","290,5 MB","2,81 GB","3,1 GB"
"2023-10-09","Wi-Fi","145,3 MB","4,87 GB","5,02 GB"
"2023-10-10","Wi-Fi","2,35 GB","4,21 GB","6,55 GB"
"2023-10-11","Wi-Fi","1,68 GB","3,75 GB","5,43 GB"
"2023-10-12","Wi-Fi","3,57 GB","9,97 GB","13,54 GB"
"2023-10-13","Wi-Fi","297,6 MB","8,07 GB","8,36 GB"
"2023-10-14","Wi-Fi","193,6 MB","4,06 GB","4,26 GB"
"2023-10-15","Wi-Fi","165,9 MB","2,9 GB","3,06 GB"
"2023-10-16","Wi-Fi","114,6 MB","2,78 GB","2,9 GB"
"2023-10-17","Wi-Fi","1,25 GB","4,69 GB","5,94 GB"
"2023-10-18","Wi-Fi","1,89 GB","4,55 GB","6,44 GB"
"2023-10-19","Wi-Fi","1,68 GB","5,38 GB","7,06 GB"
"2023-10-20","Wi-Fi","320,5 MB","1,5 GB","1,82 GB"
"2023-10-21","Wi-Fi","200,8 MB","5,04 GB","5,24 GB"
"2023-10-22","Wi-Fi","1,99 GB","4,59 GB","6,58 GB"
"2023-10-23","Wi-Fi","4,11 GB","5,79 GB","9,89 GB"
"2023-10-24","Wi-Fi","1,95 GB","6,86 GB","8,81 GB"
"2023-10-25","Wi-Fi","5,99 GB","7,39 GB","13,38 GB"
"2023-10-26","Wi-Fi","600,3 MB","12,14 GB","12,74 GB"
